,Inputs,,,,,,,,,,,,,,Outputs,,,,,,
16,2,80,120,0,0,0,0.01,20,180,2,1,199,'***','***',1.61944498910879,0,1.6016516687046,56.7591,200,2.47E-09,2.79E-11
17,2,80,120,0,0,0,0.01,20,180,2,20,180,'***','***',1.61944498910879,0,1.60267298312688,56.7591,200,2.47E-09,2.63E-11
18,2,80,120,0,0,0,0.01,20,180,2,40,160,'***','***',1.61944490192449,0,1.61687571277582,56.7591,200,2.47E-09,4.00E-12
19,2,80,120,0,0,0,0.01,20,180,2,60,140,'***','***',1.61944496542268,0,1.61687577617494,56.7591,200,2.47E-09,4.00E-12
20,2,80,120,0,0,0,0.01,20,180,2,80,120,'***','***',1.61944496542268,0,1.61687577617494,56.7678,200,2.47E-09,4.00E-12
21,2,80,120,0,0,0,0.01,20,180,3,1,199,'***','***',1.61944495535187,0,1.58548497386528,57.6412,200,2.47E-09,5.39E-11
22,2,80,120,0,0,0,0.01,20,180,3,20,180,'***','***',1.61944490192449,0,1.58676662607247,57.6412,200,2.47E-09,5.18E-11
23,2,80,120,0,0,0,0.01,20,180,3,40,160,'***','***',1.61944488518719,0,1.61687569606464,57.6412,200,2.47E-09,4.00E-12
24,2,80,120,0,0,0,0.01,20,180,3,60,140,'***','***',1.61944507055142,0,1.61687588113964,57.6412,200,2.47E-09,4.00E-12
25,2,80,120,0,0,0,0.01,20,180,3,80,120,'***','***',1.61944496542268,0,1.61687577617494,57.659,200,2.47E-09,4.00E-12
26,2,80,120,0,0,0,0.01,20,180,4,1,199,'***','***',1.61944490192449,12.4156976882921,2.00307866031562,58.5233,200,2.47E-09,8.11E-11
27,2,80,120,0,0,0,0.01,20,180,4,20,180,'***','***',1.61944490192449,24.1736714274674,2.51584634030883,58.5233,200,2.47E-09,7.89E-11
28,2,80,120,0,0,0,0.01,20,180,4,40,160,'***','***',1.61944488518719,7.36745312403381,1.68296404361732,58.5233,200,2.47E-09,2.60E-11
29,2,80,120,0,0,0,0.01,20,180,4,60,140,'***','***',1.6195821803202,0,1.61701277696407,58.5233,200,2.47E-09,4.00E-12
30,2,80,120,0,0,0,0.01,20,180,4,80,120,'***','***',1.61944496542268,0,1.61687577617494,58.5506,200,2.47E-09,4.00E-12
31,2,80,120,0,0,0,0.01,40,160,2,1,199,'***','***',69.4097606160552,18.330818083477,69.2357255174248,56.76,200,2.47E-09,2.26E-11
32,2,80,120,0,0,0,0.01,40,160,2,20,180,'***','***',69.4097606160552,31.2467294253305,69.2588731265849,56.76,200,2.47E-09,2.21E-11
33,2,80,120,0,0,0,0.01,40,160,2,40,160,'***','***',69.4097606160552,0,69.4093576840845,56.76,200,2.47E-09,4.69E-14
34,2,80,120,0,0,0,0.01,40,160,2,60,140,'***','***',69.4097606160552,0,69.4093576840845,56.76,200,2.47E-09,4.69E-14
35,2,80,120,0,0,0,0.01,40,160,2,80,120,'***','***',69.4097606160552,0,69.4093576840845,56.7688,200,2.47E-09,4.69E-14
36,2,80,120,0,0,0,0.01,40,160,3,1,199,'***','***',69.4097606160552,55.1007520345537,69.2181866022771,57.6422,200,2.47E-09,4.93E-11
37,2,80,120,0,0,0,0.01,40,160,3,20,180,'***','***',69.4097606160552,39.6676817880604,69.1156646087232,57.6422,200,2.47E-09,4.87E-11
38,2,80,120,0,0,0,0.01,40,160,3,40,160,'***','***',69.4097606160552,24.7448988049109,69.3125548658345,57.6422,200,2.47E-09,1.33E-11
39,2,80,120,0,0,0,0.01,40,160,3,60,140,'***','***',69.4098193175374,0,69.4094163859991,57.6422,200,2.47E-09,4.69E-14
40,2,80,120,0,0,0,0.01,40,160,3,80,120,'***','***',69.4097606160552,0,69.4093576840845,57.66,200,2.47E-09,4.69E-14
41,2,80,120,0,0,0,0.01,40,160,4,1,199,'***','***',69.4097606160552,49.0509629314122,69.0361207889552,58.5243,200,2.47E-09,7.70E-11
42,2,80,120,0,0,0,0.01,40,160,4,20,180,'***','***',69.4097606160552,25.5951473297111,68.8600676593287,58.5243,200,2.47E-09,7.65E-11
43,2,80,120,0,0,0,0.01,40,160,4,40,160,'***','***',69.4097606160552,34.304941207345,69.1665855943432,58.5243,200,2.47E-09,3.71E-11
44,2,80,120,0,0,0,0.01,40,160,4,60,140,'***','***',69.4098193328065,0,69.4094164012684,58.5243,200,2.47E-09,4.69E-14
45,2,80,120,0,0,0,0.01,40,160,4,80,120,'***','***',69.4097606160552,0,69.4093576840845,58.5515,200,2.47E-09,4.69E-14
46,2,80,120,0,0,0,0.01,60,140,2,1,199,'***','***',88.2880103544787,90.1843101524095,88.308440200839,56.7628,200,2.47E-09,2.26E-11
47,2,80,120,0,0,0,0.01,60,140,2,20,180,'***','***',88.2880103544787,84.6568897221396,88.2634490341639,56.7628,200,2.47E-09,2.21E-11
48,2,80,120,0,0,0,0.01,60,140,2,40,160,'***','***',88.2880103544787,44.7997327463496,88.2408718618428,56.7628,200,2.47E-09,1.27E-11
49,2,80,120,0,0,0,0.01,60,140,2,60,140,'***','***',88.2880103544787,0,88.2878141258942,56.7628,200,2.47E-09,4.69E-14
50,2,80,120,0,0,0,0.01,60,140,2,80,120,'***','***',88.2880103544787,0,88.2878141258942,56.7715,200,2.47E-09,4.69E-14
51,2,80,120,0,0,0,0.01,60,140,3,1,199,'***','***',88.2880103544787,94.0330985422553,88.5041629003746,57.6449,200,2.47E-09,4.93E-11
52,2,80,120,0,0,0,0.01,60,140,3,20,180,'***','***',88.2880103544787,92.6917660326279,88.4227654409688,57.6449,200,2.47E-09,4.87E-11
53,2,80,120,0,0,0,0.01,60,140,3,40,160,'***','***',88.2880103544787,67.9943735718269,88.1715182885899,57.6449,200,2.47E-09,3.90E-11
54,2,80,120,0,0,0,0.01,60,140,3,60,140,'***','***',88.2880103544787,0,88.2878141258942,57.6449,200,2.47E-09,4.69E-14
55,2,80,120,0,0,0,0.01,60,140,3,80,120,'***','***',88.2880103544787,0,88.2878141258942,57.6627,200,2.47E-09,4.69E-14
56,2,80,120,0,0,0,0.01,60,140,4,1,199,'***','***',88.2880103544787,93.5904697707247,88.5734715689708,58.5271,200,2.47E-09,7.70E-11
57,2,80,120,0,0,0,0.01,60,140,4,20,180,'***','***',88.2880103544787,92.8209508816377,88.5055734314621,58.5271,200,2.47E-09,7.65E-11
58,2,80,120,0,0,0,0.01,60,140,4,40,160,'***','***',88.2880103544787,49.9140261301671,88.0481705096264,58.5271,200,2.47E-09,6.65E-11
59,2,80,120,0,0,0,0.01,60,140,4,60,140,'***','***',88.2880103544787,0,88.2878141258942,58.5271,200,2.47E-09,4.69E-14
60,2,80,120,0,0,0,0.01,60,140,4,80,120,'***','***',88.2880103544787,0,88.2878141258942,58.5543,200,2.47E-09,4.69E-14
61,2,80,120,0,0,0,0.01,80,120,2,1,199,'***','***',1.4020052248944,94.1183674729875,13.705985931519,56.7916,200,2.47E-09,2.26E-11
62,2,80,120,0,0,0,0.01,80,120,2,20,180,'***','***',1.4020052248944,94.1146383356395,13.4573564035383,56.7916,200,2.47E-09,2.21E-11
63,2,80,120,0,0,0,0.01,80,120,2,40,160,'***','***',1.4020052248944,93.9953362440491,8.57538303891593,56.7916,200,2.47E-09,1.27E-11
64,2,80,120,0,0,0,0.01,80,120,2,60,140,'***','***',1.4020052248944,0,1.40197899235006,56.7916,200,2.47E-09,4.69E-14
65,2,80,120,0,0,0,0.01,80,120,2,80,120,'***','***',1.4020052248944,0,1.40197899235006,56.8002,200,2.47E-09,4.69E-14
66,2,80,120,0,0,0,0.01,80,120,3,1,199,'***','***',1.4020052248944,94.1209630758861,24.6185980234295,57.674,200,2.47E-09,4.93E-11
67,2,80,120,0,0,0,0.01,80,120,3,20,180,'***','***',1.4020052248944,94.1174648029514,24.4141737959348,57.674,200,2.47E-09,4.87E-11
68,2,80,120,0,0,0,0.01,80,120,3,40,160,'***','***',1.4020052248944,94.0328452441762,20.5568469260483,57.674,200,2.47E-09,3.90E-11
69,2,80,120,0,0,0,0.01,80,120,3,60,140,'***','***',1.4020052248944,0,1.40197899235006,57.674,200,2.47E-09,4.69E-14
70,2,80,120,0,0,0,0.01,80,120,3,80,120,'***','***',1.4020052248944,0,1.40197899235006,57.6916,200,2.47E-09,4.69E-14
71,2,80,120,0,0,0,0.01,80,120,4,1,199,'***','***',1.4020052248944,94.1206987432402,33.2099202689217,58.5565,200,2.47E-09,7.70E-11
72,2,80,120,0,0,0,0.01,80,120,4,20,180,'***','***',1.4020052248944,94.1211319621261,33.0532059982694,58.5565,200,2.47E-09,7.65E-11
73,2,80,120,0,0,0,0.01,80,120,4,40,160,'***','***',1.4020052248944,94.1179646865352,30.2134376588622,58.5565,200,2.47E-09,6.65E-11
74,2,80,120,0,0,0,0.01,80,120,4,60,140,'***','***',1.4020052248944,93.8739044714904,9.42503372772394,58.5565,200,2.47E-09,1.46E-11
75,2,80,120,0,0,0,0.01,80,120,4,80,120,'***','***',1.4020052248944,0,1.40197899235006,58.5833,200,2.47E-09,4.69E-14
76,2,80,120,0,0,0,0.05,1,199,2,1,199,'***','***',59.0588887650699,84.0290622937026,60.0856100852981,56.7217,200,2.47E-09,4.14E-11
77,2,80,120,0,0,0,0.05,1,199,2,20,180,'***','***',59.0588887680868,58.6797058583335,59.0528560870813,56.7217,200,2.47E-09,4.04E-11
78,2,80,120,0,0,0,0.05,1,199,2,40,160,'***','***',59.0588887609646,58.7575808909608,59.0568504310737,56.7217,200,2.47E-09,1.70E-11
79,2,80,120,0,0,0,0.05,1,199,2,60,140,'***','***',59.0588888107813,56.3849042799171,59.0429507772149,56.7217,200,2.47E-09,1.58E-11
80,2,80,120,0,0,0,0.05,1,199,2,80,120,'***','***',59.0588887680868,56.384904595739,59.042950736526,56.7305,200,2.47E-09,1.58E-11
81,2,80,120,0,0,0,0.05,1,199,3,1,199,'***','***',59.0588887609646,78.8123277566134,60.0619478060104,57.6039,200,2.47E-09,6.85E-11
82,2,80,120,0,0,0,0.05,1,199,3,20,180,'***','***',59.0588887609646,66.1479419285736,59.2839021346516,57.6039,200,2.47E-09,6.71E-11
83,2,80,120,0,0,0,0.05,1,199,3,40,160,'***','***',59.0588887002273,46.6542344456535,58.8928392847207,57.6039,200,2.47E-09,4.37E-11
84,2,80,120,0,0,0,0.05,1,199,3,60,140,'***','***',59.0590038084705,56.3849039768254,59.0430651322775,57.6039,200,2.47E-09,1.58E-11
85,2,80,120,0,0,0,0.05,1,199,3,80,120,'***','***',59.0588887680868,56.384904595739,59.042950736526,57.6217,200,2.47E-09,1.58E-11
86,2,80,120,0,0,0,0.05,1,199,4,1,199,'***','***',59.0588887609646,83.3057596224799,61.181172927479,58.486,200,2.47E-09,9.68E-11
87,2,80,120,0,0,0,0.05,1,199,4,20,180,'***','***',59.0588887609646,59.6852120806186,59.0823944839826,58.486,200,2.47E-09,9.50E-11
88,2,80,120,0,0,0,0.05,1,199,4,40,160,'***','***',59.0588886739749,25.3786758043824,58.536367039306,58.486,200,2.47E-09,7.11E-11
89,2,80,120,0,0,0,0.05,1,199,4,60,140,'***','***',59.0590038201951,56.3849031509255,59.043065139314,58.486,200,2.47E-09,1.58E-11
90,2,80,120,0,0,0,0.05,1,199,4,80,120,'***','***',59.0588887680868,56.384904595739,59.042950736526,58.5132,200,2.47E-09,1.58E-11
91,2,80,120,0,0,0,0.05,20,180,2,1,199,'***','***',65.0170322711248,76.7593799409696,65.2182652592791,56.7219,200,2.47E-09,2.87E-11
92,2,80,120,0,0,0,0.05,20,180,2,20,180,'***','***',65.0170322711248,71.9563498456945,65.1109407419338,56.7219,200,2.47E-09,2.72E-11
93,2,80,120,0,0,0,0.05,20,180,2,40,160,'***','***',65.0170322651898,0,64.9773935866805,56.7219,200,2.47E-09,4.31E-12
94,2,80,120,0,0,0,0.05,20,180,2,60,140,'***','***',65.0170323019219,0,64.9773936234319,56.7219,200,2.47E-09,4.31E-12
95,2,80,120,0,0,0,0.05,20,180,2,80,120,'***','***',65.0170322711248,0,64.9773935926186,56.7307,200,2.47E-09,4.31E-12
96,2,80,120,0,0,0,0.05,20,180,3,1,199,'***','***',65.0170322711248,70.8447911800794,65.1680311419406,57.604,200,2.47E-09,5.48E-11
97,2,80,120,0,0,0,0.05,20,180,3,20,180,'***','***',65.0170322651898,41.5952469958307,64.7196621039541,57.604,200,2.47E-09,5.31E-11
98,2,80,120,0,0,0,0.05,20,180,3,40,160,'***','***',65.0170322557869,59.9368871867696,64.9951199791073,57.604,200,2.47E-09,1.23E-11
99,2,80,120,0,0,0,0.05,20,180,3,60,140,'***','***',65.0171242114473,0,64.977485581001,57.604,200,2.47E-09,4.31E-12
100,2,80,120,0,0,0,0.05,20,180,3,80,120,'***','***',65.0170322711248,0,64.9773935926186,57.6219,200,2.47E-09,4.31E-12
101,2,80,120,0,0,0,0.05,20,180,4,1,199,'***','***',65.0170322651898,74.5331799699372,65.4330611605368,58.4862,200,2.47E-09,8.23E-11
102,2,80,120,0,0,0,0.05,20,180,4,20,180,'***','***',65.0170322557869,46.1873431590957,64.6267751725871,58.4862,200,2.47E-09,8.05E-11
103,2,80,120,0,0,0,0.05,20,180,4,40,160,'***','***',65.0170322503477,43.6096946966707,64.806362371987,58.4862,200,2.47E-09,3.96E-11
104,2,80,120,0,0,0,0.05,20,180,4,60,140,'***','***',65.0172024682274,0,64.9775638786886,58.4862,200,2.47E-09,4.31E-12
105,2,80,120,0,0,0,0.05,20,180,4,80,120,'***','***',65.0170322711248,0,64.9773935926186,58.5134,200,2.47E-09,4.31E-12
106,2,80,120,0,0,0,0.05,40,160,2,1,199,'***','***',78.5748575312439,82.2463523013645,78.6148588134072,56.7225,200,2.47E-09,2.26E-11
107,2,80,120,0,0,0,0.05,40,160,2,20,180,'***','***',78.5748575312439,66.0046767734609,78.5045741980488,56.7225,200,2.47E-09,2.21E-11
108,2,80,120,0,0,0,0.05,40,160,2,40,160,'***','***',78.5748575312439,0,78.5745380566094,56.7225,200,2.47E-09,4.69E-14
109,2,80,120,0,0,0,0.05,40,160,2,60,140,'***','***',78.5748575312439,0,78.5745380566094,56.7225,200,2.47E-09,4.69E-14
110,2,80,120,0,0,0,0.05,40,160,2,80,120,'***','***',78.5748575312439,0,78.5745380566094,56.7313,200,2.47E-09,4.69E-14
111,2,80,120,0,0,0,0.05,40,160,3,1,199,'***','***',78.5748575312439,88.4894389276773,78.9292863717066,57.6047,200,2.47E-09,4.93E-11
112,2,80,120,0,0,0,0.05,40,160,3,20,180,'***','***',78.5748575312439,60.5523615131083,78.3840932998772,57.6047,200,2.47E-09,4.87E-11
113,2,80,120,0,0,0,0.05,40,160,3,40,160,'***','***',78.5748575312439,44.4737937172775,78.4995896903106,57.6047,200,2.47E-09,1.42E-11
114,2,80,120,0,0,0,0.05,40,160,3,60,140,'***','***',78.5748820405485,0,78.5745625661798,57.6047,200,2.47E-09,4.69E-14
115,2,80,120,0,0,0,0.05,40,160,3,80,120,'***','***',78.5748575312439,0,78.5745380566094,57.6225,200,2.47E-09,4.69E-14
116,2,80,120,0,0,0,0.05,40,160,4,1,199,'***','***',78.5748575312439,90.330180721089,79.3335465899573,58.4868,200,2.47E-09,7.70E-11
117,2,80,120,0,0,0,0.05,40,160,4,20,180,'***','***',78.5748575312439,59.3899330593594,78.267085503647,58.4868,200,2.47E-09,7.65E-11
118,2,80,120,0,0,0,0.05,40,160,4,40,160,'***','***',78.5748575312439,36.560675533603,78.3583495643915,58.4868,200,2.47E-09,3.79E-11
119,2,80,120,0,0,0,0.05,40,160,4,60,140,'***','***',78.5748820405485,0,78.5745625661798,58.4868,200,2.47E-09,4.69E-14
120,2,80,120,0,0,0,0.05,40,160,4,80,120,'***','***',78.5748575312439,0,78.5745380566094,58.514,200,2.47E-09,4.69E-14
121,2,80,120,0,0,0,0.05,60,140,2,1,199,'***','***',88.3721379523219,91.4009602450463,88.4090653554229,56.7248,200,2.47E-09,2.26E-11
122,2,80,120,0,0,0,0.05,60,140,2,20,180,'***','***',88.3721379523219,89.7790727237925,88.3862743637398,56.7248,200,2.47E-09,2.21E-11
123,2,80,120,0,0,0,0.05,60,140,2,40,160,'***','***',88.3721379523219,42.8368967351993,88.3248157303242,56.7248,200,2.47E-09,1.27E-11
124,2,80,120,0,0,0,0.05,60,140,2,60,140,'***','***',88.3721379523219,0,88.3719429476119,56.7248,200,2.47E-09,4.69E-14
125,2,80,120,0,0,0,0.05,60,140,2,80,120,'***','***',88.3721379523219,0,88.3719429476119,56.7336,200,2.47E-09,4.69E-14
126,2,80,120,0,0,0,0.05,60,140,3,1,199,'***','***',88.3721379523219,93.6132540578927,88.5555429865447,57.607,200,2.47E-09,4.93E-11
127,2,80,120,0,0,0,0.05,60,140,3,20,180,'***','***',88.3721379523219,94.1095621851602,88.5868733231826,57.607,200,2.47E-09,4.87E-11
128,2,80,120,0,0,0,0.05,60,140,3,40,160,'***','***',88.3721379523219,66.2346794855756,88.2525091397914,57.607,200,2.47E-09,3.90E-11
129,2,80,120,0,0,0,0.05,60,140,3,60,140,'***','***',88.3721379523219,0,88.3719429476119,57.607,200,2.47E-09,4.69E-14
130,2,80,120,0,0,0,0.05,60,140,3,80,120,'***','***',88.3721379523219,0,88.3719429476119,57.6248,200,2.47E-09,4.69E-14
131,2,80,120,0,0,0,0.05,60,140,4,1,199,'***','***',88.3721379523219,95.7593043259779,88.9532462764584,58.4891,200,2.47E-09,7.70E-11
132,2,80,120,0,0,0,0.05,60,140,4,20,180,'***','***',88.3721379523219,96.2241242427438,89.0544517337223,58.4891,200,2.47E-09,7.65E-11
133,2,80,120,0,0,0,0.05,60,140,4,40,160,'***','***',88.3721379523219,85.1657540153141,88.3059343300647,58.4891,200,2.47E-09,6.65E-11
134,2,80,120,0,0,0,0.05,60,140,4,60,140,'***','***',88.3721379523219,0,88.3719429476119,58.4891,200,2.47E-09,4.69E-14
135,2,80,120,0,0,0,0.05,60,140,4,80,120,'***','***',88.3721379523219,0,88.3719429476119,58.5163,200,2.47E-09,4.69E-14
136,2,80,120,0,0,0,0.05,80,120,2,1,199,'***','***',1.4020052248944,94.0783299850405,13.6284893774998,56.7527,200,2.47E-09,2.26E-11
137,2,80,120,0,0,0,0.05,80,120,2,20,180,'***','***',1.4020052248944,94.0745770518687,13.3812083900029,56.7527,200,2.47E-09,2.21E-11
138,2,80,120,0,0,0,0.05,80,120,2,40,160,'***','***',1.4020052248944,93.9545150510551,8.52753226774478,56.7527,200,2.47E-09,1.27E-11
139,2,80,120,0,0,0,0.05,80,120,2,60,140,'***','***',1.4020052248944,0,1.40197899235006,56.7527,200,2.47E-09,4.69E-14
140,2,80,120,0,0,0,0.05,80,120,2,80,120,'***','***',1.4020052248944,0,1.40197899235006,56.7613,200,2.47E-09,4.69E-14
141,2,80,120,0,0,0,0.05,80,120,3,1,199,'***','***',1.4020052248944,94.0809421449823,24.490758644836,57.6351,200,2.47E-09,4.93E-11
142,2,80,120,0,0,0,0.05,80,120,3,20,180,'***','***',1.4020052248944,94.0774215478642,24.2871182228579,57.6351,200,2.47E-09,4.87E-11
143,2,80,120,0,0,0,0.05,80,120,3,40,160,'***','***',1.4020052248944,93.9922627427676,20.4457212569459,57.6351,200,2.47E-09,3.90E-11
144,2,80,120,0,0,0,0.05,80,120,3,60,140,'***','***',1.4020052248944,0,1.40197899235006,57.6351,200,2.47E-09,4.69E-14
145,2,80,120,0,0,0,0.05,80,120,3,80,120,'***','***',1.4020052248944,0,1.40197899235006,57.6527,200,2.47E-09,4.69E-14
146,2,80,120,0,0,0,0.05,80,120,4,1,199,'***','***',1.4020052248944,94.0806761256472,33.0546380315916,58.5176,200,2.47E-09,7.70E-11
147,2,80,120,0,0,0,0.05,80,120,4,20,180,'***','***',1.4020052248944,94.0811120997843,32.8983280183492,58.5176,200,2.47E-09,7.65E-11
148,2,80,120,0,0,0,0.05,80,120,4,40,160,'***','***',1.4020052248944,94.0779245992043,30.0665055651944,58.5176,200,2.47E-09,6.65E-11
149,2,80,120,0,0,0,0.05,80,120,4,60,140,'***','***',1.4020052248944,93.8323196716651,9.3720181344417,58.5176,200,2.47E-09,1.46E-11
150,2,80,120,0,0,0,0.05,80,120,4,80,120,'***','***',1.4020052248944,0,1.40197899235006,58.5443,200,2.47E-09,4.69E-14
151,2,80,120,0,0,0,0.1,1,199,2,1,199,'***','***',85.4478951283151,95.113469257686,85.9156355196951,56.677,200,2.47E-09,4.22E-11
152,2,80,120,0,0,0,0.1,1,199,2,20,180,'***','***',85.4478951179854,96.257146262652,86.1089217356659,56.677,200,2.47E-09,4.14E-11
153,2,80,120,0,0,0,0.1,1,199,2,40,160,'***','***',85.4478951179854,94.3491293358211,85.6773646980848,56.677,200,2.47E-09,2.54E-11
154,2,80,120,0,0,0,0.1,1,199,2,60,140,'***','***',85.4478951443502,92.0533340303234,85.5264651116123,56.677,200,2.47E-09,1.63E-11
155,2,80,120,0,0,0,0.1,1,199,2,80,120,'***','***',85.4478951283151,92.0533340373348,85.5264650960054,56.6858,200,2.47E-09,1.63E-11
156,2,80,120,0,0,0,0.1,1,199,3,1,199,'***','***',85.4478951179854,97.3839026874842,87.0628243459816,57.5591,200,2.47E-09,6.96E-11
157,2,80,120,0,0,0,0.1,1,199,3,20,180,'***','***',85.4478951179854,97.2070966884478,86.9296367711526,57.5591,200,2.47E-09,6.85E-11
158,2,80,120,0,0,0,0.1,1,199,3,40,160,'***','***',85.4478951179854,96.3259347141581,86.2860140666769,57.5591,200,2.47E-09,5.21E-11
159,2,80,120,0,0,0,0.1,1,199,3,60,140,'***','***',85.4478951443502,92.0533336447748,85.5264651032597,57.5591,200,2.47E-09,1.63E-11
160,2,80,120,0,0,0,0.1,1,199,3,80,120,'***','***',85.4478951283151,92.0533340373348,85.5264650960054,57.577,200,2.47E-09,1.63E-11
161,2,80,120,0,0,0,0.1,1,199,4,1,199,'***','***',85.4478951179854,97.3182592076855,87.5475048048845,58.4413,200,2.47E-09,9.80E-11
162,2,80,120,0,0,0,0.1,1,199,4,20,180,'***','***',85.4478951179854,97.6802929303965,87.8530296776327,58.4413,200,2.47E-09,9.65E-11
163,2,80,120,0,0,0,0.1,1,199,4,40,160,'***','***',85.4478951179854,97.8432071597052,87.6558620633761,58.4413,200,2.47E-09,7.95E-11
164,2,80,120,0,0,0,0.1,1,199,4,60,140,'***','***',85.4478951443502,92.0533336447748,85.5264651032597,58.4413,200,2.47E-09,1.63E-11
165,2,80,120,0,0,0,0.1,1,199,4,80,120,'***','***',85.4478951283151,92.0533340373348,85.5264650960054,58.4685,200,2.47E-09,1.63E-11
166,2,80,120,0,0,0,0.1,20,180,2,1,199,'***','***',85.4975336327456,93.6162902283183,85.7108756509329,56.677,200,2.47E-09,2.94E-11
167,2,80,120,0,0,0,0.1,20,180,2,20,180,'***','***',85.4975336327456,95.9745056217209,85.9115192073046,56.677,200,2.47E-09,2.83E-11
168,2,80,120,0,0,0,0.1,20,180,2,40,160,'***','***',85.4975336327456,94.952554859453,85.5479800676746,56.677,200,2.47E-09,4.62E-12
169,2,80,120,0,0,0,0.1,20,180,2,60,140,'***','***',85.4975336295877,94.9525548606299,85.5479800645625,56.677,200,2.47E-09,4.62E-12
170,2,80,120,0,0,0,0.1,20,180,2,80,120,'***','***',85.4975336327456,94.952554859453,85.5479800676746,56.6858,200,2.47E-09,4.62E-12
171,2,80,120,0,0,0,0.1,20,180,3,1,199,'***','***',85.4975336327456,96.6481261876506,86.489518631448,57.5592,200,2.47E-09,5.58E-11
172,2,80,120,0,0,0,0.1,20,180,3,20,180,'***','***',85.4975336327456,96.2601736346888,86.3440963999921,57.5592,200,2.47E-09,5.45E-11
173,2,80,120,0,0,0,0.1,20,180,3,40,160,'***','***',85.4975336327456,94.3153848256149,85.7195052531104,57.5592,200,2.47E-09,2.50E-11
174,2,80,120,0,0,0,0.1,20,180,3,60,140,'***','***',85.4975336295877,94.9525548606299,85.5479800645625,57.5592,200,2.47E-09,4.62E-12
175,2,80,120,0,0,0,0.1,20,180,3,80,120,'***','***',85.4975336327456,94.952554859453,85.5479800676746,57.577,200,2.47E-09,4.62E-12
176,2,80,120,0,0,0,0.1,20,180,4,1,199,'***','***',85.4975336327456,96.9518614495591,87.0844114282569,58.4413,200,2.47E-09,8.36E-11
177,2,80,120,0,0,0,0.1,20,180,4,20,180,'***','***',85.4975336327456,97.5239445943334,87.4573303205257,58.4413,200,2.47E-09,8.22E-11
178,2,80,120,0,0,0,0.1,20,180,4,40,160,'***','***',85.4975336211371,95.0366572512095,86.052979947291,58.4413,200,2.47E-09,5.24E-11
179,2,80,120,0,0,0,0.1,20,180,4,60,140,'***','***',85.4975336295877,94.9525548606299,85.5479800645625,58.4413,200,2.47E-09,4.62E-12
180,2,80,120,0,0,0,0.1,20,180,4,80,120,'***','***',85.4975336327456,94.952554859453,85.5479800676746,58.4685,200,2.47E-09,4.62E-12
181,2,80,120,0,0,0,0.1,40,160,2,1,199,'***','***',86.0974954276165,93.1801363465777,86.2268728701687,56.6772,200,2.47E-09,2.26E-11
182,2,80,120,0,0,0,0.1,40,160,2,20,180,'***','***',86.0974954276165,92.8187547566328,86.2116119010484,56.6772,200,2.47E-09,2.21E-11
183,2,80,120,0,0,0,0.1,40,160,2,40,160,'***','***',86.0974954276165,0,86.0972682773526,56.6772,200,2.47E-09,4.69E-14
